ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0027.jpg,3,208.5676,165.5676,175.5676
M_104_1,M_104_1.mp4_sec_0027.jpg,4,208.0325,165.0325,175.0325
M_104_1,M_104_1.mp4_sec_0027.jpg,5,209.2557,166.5647,176.5676
M_104_1,M_104_1.mp4_sec_0027.jpg,6,208.9276,165.9276,175.9276
M_104_1,M_104_1.mp4_sec_0027.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0027.jpg,8,209.2129,166.51,176.4745
M_104_1,M_104_1.mp4_sec_0027.jpg,9,208.3023,165.3023,175.3023
M_104_1,M_104_1.mp4_sec_0027.jpg,10,208.1042,165.1042,175.1042
M_104_1,M_104_1.mp4_sec_0028.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0028.jpg,2,207.6999,164.6999,174.6999
M_104_1,M_104_1.mp4_sec_0028.jpg,3,207.6851,164.6851,174.6851
M_104_1,M_104_1.mp4_sec_0028.jpg,4,208.8825,165.8825,175.8825
M_104_1,M_104_1.mp4_sec_0028.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0028.jpg,6,208.8197,165.8197,175.8197
M_104_1,M_104_1.mp4_sec_0028.jpg,7,208.5639,165.5639,175.5639
M_104_1,M_104_1.mp4_sec_0028.jpg,8,208.0155,165.0155,175.0155
M_104_1,M_104_1.mp4_sec_0028.jpg,9,208.3134,165.3134,175.3134
M_104_1,M_104_1.mp4_sec_0028.jpg,10,208.1101,165.1101,175.1101
M_104_1,M_104_1.mp4_sec_0029.jpg,1,209.2506,166.2506,176.2506
M_104_1,M_104_1.mp4_sec_0029.jpg,2,209.6275,166.7162,176.728
M_104_1,M_104_1.mp4_sec_0029.jpg,3,208.122,165.054,175.2579
M_104_1,M_104_1.mp4_sec_0029.jpg,4,207.9017,164.9017,174.9017
M_104_1,M_104_1.mp4_sec_0029.jpg,5,208.4974,165.4974,175.4974
M_104_1,M_104_1.mp4_sec_0029.jpg,6,207.9749,164.983,175.0296
M_104_1,M_104_1.mp4_sec_0029.jpg,7,210.1508,167.1382,177.3311
M_104_1,M_104_1.mp4_sec_0029.jpg,8,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0029.jpg,9,208.7302,165.7302,175.7302
M_104_1,M_104_1.mp4_sec_0029.jpg,10,208.1826,165.1826,175.1826
M_104_1,M_104_1.mp4_sec_0030.jpg,1,209.0096,166.0096,176.0096
M_104_1,M_104_1.mp4_sec_0030.jpg,2,207.6541,164.6541,174.6541
M_104_1,M_104_1.mp4_sec_0030.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0030.jpg,4,208.9638,165.9638,175.9638
M_104_1,M_104_1.mp4_sec_0030.jpg,5,207.4649,164.4649,174.4649
M_104_1,M_104_1.mp4_sec_0030.jpg,6,208.8551,165.8551,175.8551
M_104_1,M_104_1.mp4_sec_0030.jpg,7,208.8514,165.8514,175.8514
M_104_1,M_104_1.mp4_sec_0030.jpg,8,209.2203,166.2262,176.235
M_104_1,M_104_1.mp4_sec_0030.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0030.jpg,10,208.8248,165.8248,175.8248
M_104_2,M_104_2.mp4_sec_0000.jpg,1,207.0872,164.0872,174.0872
M_104_2,M_104_2.mp4_sec_0000.jpg,2,207.0,164.0,174.0
M_104_2,M_104_2.mp4_sec_0000.jpg,3,207.9616,164.9616,174.9616
M_104_2,M_104_2.mp4_sec_0000.jpg,4,207.5033,164.5033,174.5033
M_104_2,M_104_2.mp4_sec_0000.jpg,5,208.0,165.0,175.0
M_104_2,M_104_2.mp4_sec_0000.jpg,6,208.0,165.0,175.0
M_104_2,M_104_2.mp4_sec_0000.jpg,7,207.7428,164.8729,174.8699
M_104_2,M_104_2.mp4_sec_0000.jpg,8,208.4545,165.4996,175.5026
M_104_2,M_104_2.mp4_sec_0000.jpg,9,209.7044,166.8123,176.8315
M_104_2,M_104_2.mp4_sec_0000.jpg,10,208.0,165.0,175.0
M_104_2,M_104_2.mp4_sec_0001.jpg,1,208.0,165.0,175.0
M_104_2,M_104_2.mp4_sec_0001.jpg,2,207.6711,164.6711,174.6711
M_104_2,M_104_2.mp4_sec_0001.jpg,3,208.0658,165.0658,175.0658
M_104_2,M_104_2.mp4_sec_0001.jpg,4,207.9985,164.997,175.0
M_104_2,M_104_2.mp4_sec_0001.jpg,5,207.9993,164.9993,174.9993
M_104_2,M_104_2.mp4_sec_0001.jpg,6,207.8721,164.9534,174.9505
M_104_2,M_104_2.mp4_sec_0001.jpg,7,208.0,165.0,175.0
M_104_2,M_104_2.mp4_sec_0001.jpg,8,207.9608,165.0089,174.9704
